run_id,round,turn_index,agent,model_short,seed,num_agents,stag_success_threshold,num_liars,num_rounds,is_liar,original_is_stag,reported_is_stag,n_observed,prior_liar_count,prior_liar_share,prior_public_stag_share,prior_original_stag_share,q_star,public_history_match,original_history_match,intended_success,truthful_payoff,realized_payoff
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,1,0,Agent_0,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,0,0,,,,0.1591036021709442,False,False,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,1,1,Agent_1,deepseek-v3.2-think,1408,5,2,4,2,False,True,True,1,1,1.0,0.0,1.0,0.1591036021709442,False,True,True,4.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,1,2,Agent_2,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,2,1,0.5,0.5,1.0,0.1591036021709442,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,1,3,Agent_3,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,3,2,0.6666666666666666,0.3333333333333333,1.0,0.1591036021709442,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,1,4,Agent_4,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,4,3,0.75,0.25,1.0,0.1591036021709442,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,2,0,Agent_0,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,0,0,,,,0.1591036021709442,False,False,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,2,1,Agent_1,deepseek-v3.2-think,1408,5,2,4,2,False,False,False,1,1,1.0,0.0,1.0,0.1591036021709442,True,False,True,2.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,2,2,Agent_2,deepseek-v3.2-think,1408,5,2,4,2,True,False,True,2,1,0.5,0.0,0.5,0.1591036021709442,True,False,True,2.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,2,3,Agent_3,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,3,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1591036021709442,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_02da9219aa67,2,4,Agent_4,deepseek-v3.2-think,1408,5,2,4,2,True,True,False,4,3,0.75,0.25,0.5,0.1591036021709442,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,1,0,Agent_0,deepseek-v3.2-think,1348,2,2,1,4,False,True,True,0,0,,,,0.4999999701976776,False,False,True,4.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,1,1,Agent_1,deepseek-v3.2-think,1348,2,2,1,4,True,True,False,1,0,0.0,1.0,1.0,0.4999999701976776,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,2,0,Agent_0,deepseek-v3.2-think,1348,2,2,1,4,False,False,False,0,0,,,,0.4999999701976776,False,False,False,2.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,2,1,Agent_1,deepseek-v3.2-think,1348,2,2,1,4,True,False,True,1,0,0.0,0.0,0.0,0.4999999701976776,True,True,False,2.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,3,0,Agent_0,deepseek-v3.2-think,1348,2,2,1,4,False,True,True,0,0,,,,0.4999999701976776,False,False,True,4.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,3,1,Agent_1,deepseek-v3.2-think,1348,2,2,1,4,True,True,False,1,0,0.0,1.0,1.0,0.4999999701976776,True,True,True,4.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,4,0,Agent_0,deepseek-v3.2-think,1348,2,2,1,4,False,False,False,0,0,,,,0.4999999701976776,False,False,False,2.0,2.0
stag_hunt_simulation_deepseek_20260302_0001_077c172c7fc7,4,1,Agent_1,deepseek-v3.2-think,1348,2,2,1,4,True,False,True,1,0,0.0,0.0,0.0,0.4999999701976776,True,True,False,2.0,0.0
stag_hunt_simulation_deepseek_20260302_0001_0903575ee97f,1,0,Agent_0,deepseek-v3.2-think,1382,5,4,2,1,False,True,True,0,0,,,,0.6142724454402924,False,False,True,4.0,0.0
